time	hru_evap(1)	soil_runoff(1)	soil_moist(1)	soil_rechr(1)	runoff(1)	meltrunoff(1)	infil(1)	hru_actet(1)	Sdex(1)	Sdexcess(1)	basinflow_m(1)	gwoutflow_m(1)	outflow_m(1)	runoutflow_m(1)	Sd(1)
units	(mm/int)	(mm/int)	(mm)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)
40825.54167	0.498865	0	217.645	27.6454	0	0	0	0.210904	0	0	0	0	0	0	11.5902
40825.58333	0.457912	0	217.476	27.4762	0	0	0	0.192436	0	0	0	0	0	0	11.567
40825.625	0.392463	0	217.332	27.3319	0	0	0	0.164028	0	0	0	0	0	0	11.5472
40825.66667	0.338608	0	217.208	27.2082	0	0	0	0.140856	0	0	0	0	0	0	11.5301
40825.70833	0.238514	0	217.121	27.1214	0	0	0	0.0988172	0	0	0	0	0	0	11.5181
40825.75	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40825.79167	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40825.83333	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40825.875	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40825.91667	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40825.95833	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826.04167	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826.08333	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826.125	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826.16667	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826.20833	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826.25	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826.29167	0	0	217.121	27.1214	0	0	0	0	0	0	0	0	0	0	11.5181
40826.33333	0.0714114	0	217.095	27.0955	0	0	0	0.0295018	0	0	0	0	0	0	11.5145
40826.375	0.168931	0	217.034	27.0343	0	0	0	0.06973	0	0	0	0	0	0	11.506
40826.41667	0.215526	0	216.956	26.9563	0	0	0	0.0887838	0	0	0	0	0	0	11.4951
40826.45833	0.28148	0	216.855	26.8548	0	0	0	0.115655	0	0	0	0	0	0	11.481
40826.5	0.352563	0	216.728	26.7282	0	0	0	0.144375	0	0	0	0	0	0	11.4632
40826.54167	0.360146	0	216.599	26.5994	0	0	0	0.146859	0	0	0	0	0	0	11.4451
40826.58333	0.347197	0	216.476	26.4759	0	0	0	0.140971	0	0	0	0	0	0	11.4277
40826.625	0.250229	0	216.387	26.3872	0	0	0	0.101179	0	0	0	0	0	0	11.4152
40826.66667	0.200699	0	216.316	26.3164	0	0	0	0.0809095	0	0	0	0	0	0	11.4051
40826.70833	0.117021	0	216.275	26.2752	0	0	0	0.0470628	0	0	0	0	0	0	11.3992
40826.75	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40826.79167	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40826.83333	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40826.875	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40826.91667	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40826.95833	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827.04167	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827.08333	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827.125	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827.16667	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827.20833	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827.25	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827.29167	0	0	216.275	26.2752	0	0	0	0	0	0	0	0	0	0	11.3992
40827.33333	0.0588149	0	216.254	26.2545	0	0	0	0.0236208	0	0	0	0	0	0	11.3963
40827.375	0.161471	0	216.198	26.1978	0	0	0	0.0648035	0	0	0	0	0	0	11.3882
40827.41667	0.286062	0	216.097	26.0975	0	0	0	0.114585	0	0	0	0	0	0	11.3739
40827.45833	0.366233	0	215.97	25.9696	0	0	0	0.146198	0	0	0	0	0	0	11.3556
40827.5	0.383293	0	215.836	25.8364	0	0	0	0.15234	0	0	0	0	0	0	11.3364
40827.54167	0.3765	0	215.706	25.7063	0	0	0	0.148957	0	0	0	0	0	0	11.3177
40827.58333	0.405442	0	215.567	25.5668	0	0	0	0.159689	0	0	0	0	0	0	11.2974
